column_name,count,mean,std,min,25%,50%,75%,max
HFL,59048.0,2.296453732556564,1.2841278458736873,1.0,1.0,3.0,3.0,9.0
HISPEED,48748.0,1.2893452039058013,0.4534630912011708,1.0,1.0,1.0,2.0,2.0
HOTWAT,66573.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
INSP,42832.0,979.7486458722451,867.8312794281281,0.0,200.0,1000.0,1400.0,5900.0
LAPTOP,59048.0,1.3100867091180057,0.4625327718575657,1.0,1.0,1.0,2.0,2.0
MHP,4955.0,398.61553985872854,1328.8605995576845,0.0,0.0,140.0,330.0,19700.0
MRGI,20783.0,1.3131886638117691,0.46380154705227084,1.0,1.0,1.0,2.0,2.0
MRGP,20783.0,899.592166674686,593.9968523248892,4.0,500.0,750.0,1100.0,3900.0
MRGT,20783.0,1.2949044892460184,0.45601078610292467,1.0,1.0,1.0,2.0,2.0
MRGX,42832.0,2.0463205080313784,0.990512063991333,1.0,1.0,3.0,3.0,3.0
OTHSVCEX,48748.0,1.9877738573890211,0.10989500347842282,1.0,2.0,2.0,2.0,2.0
REFR,66573.0,1.0297718294203355,0.1699585287399585,1.0,1.0,1.0,1.0,2.0
RMSP,66573.0,5.8998392741802235,2.158058194244201,1.0,5.0,6.0,7.0,17.0
RNTM,15326.0,1.9793814432989691,0.1421082316393813,1.0,2.0,2.0,2.0,2.0
RNTP,15326.0,603.0112227587107,380.1399289091319,4.0,400.0,550.0,730.0,3000.0
RWAT,66573.0,1.0377480359905666,0.19058768950546318,1.0,1.0,1.0,1.0,2.0
RWATPR,66573.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
SATELLITE,48748.0,1.8816977106753097,0.32296903477694977,1.0,2.0,2.0,2.0,2.0
SINK,66573.0,1.0127378967449265,0.11214201547290506,1.0,1.0,1.0,1.0,2.0
SMARTPHONE,59048.0,1.165458609944452,0.3715970894001865,1.0,1.0,1.0,1.0,2.0
SMP,1564.0,387.0997442455243,402.08845425045627,0.0,150.0,280.0,470.0,2400.0
STOV,66573.0,1.0310786655250628,0.17353165246804242,1.0,1.0,1.0,1.0,2.0
TABLET,59048.0,1.4512261211217992,0.4976196362347785,1.0,1.0,1.0,2.0,2.0
TEL,59048.0,1.013683782685273,0.11617557983273612,1.0,1.0,1.0,1.0,2.0
TEN,59048.0,1.9521067606015445,0.8537683036637638,1.0,1.0,2.0,3.0,4.0
VACS,7525.0,5.289700996677741,2.068743227573796,1.0,5.0,5.0,7.0,7.0
VALP,43473.0,177987.01032824971,207078.43232709265,1000.0,75000.0,135000.0,220000.0,2135000.0
VEH,59048.0,1.922977916271508,1.0854065279076983,0.0,1.0,2.0,2.0,6.0
WATFP,59048.0,2.7912037664273135,0.5352851974649283,1.0,3.0,3.0,3.0,3.0
WATP,50301.0,517.5134092761575,480.9099924921875,4.0,100.0,480.0,720.0,4500.0
YRBLT,66573.0,1977.8832259324352,20.836971653926213,1939.0,1960.0,1980.0,1990.0,2022.0
CPLT,32641.0,1.1967464232100733,0.60127760398256,1.0,1.0,1.0,1.0,4.0
FINCP,38960.0,83425.03246919918,81990.01387360986,-6300.0,35600.0,63400.0,103162.5,1268800.0
FPARC,38960.0,3.2003850102669404,1.04293952010642,1.0,2.0,4.0,4.0,4.0
GRNTP,14237.0,796.5023530238112,424.84576785709436,4.0,550.0,738.0,953.0,6375.0
GRPIP,13876.0,35.837921591236665,26.28851492542723,1.0,17.0,27.0,45.0,101.0
HHL,59048.0,1.1012057986722665,0.44766390252029686,1.0,1.0,1.0,1.0,5.0
HHLANP,59048.0,8995.173570654382,1954.136361716727,1025.0,9500.0,9500.0,9500.0,9999.0
HHLDRAGEP,59048.0,55.31509958000271,17.58795738503976,15.0,41.0,57.0,69.0,94.0
HHLDRHISP,59048.0,1.1733674298875492,1.5456004276118107,1.0,1.0,1.0,1.0,24.0
HHLDRRAC1P,59048.0,1.687914916677957,1.960077508861884,1.0,1.0,1.0,1.0,9.0
HHT,59048.0,2.723005012870885,2.015535164818125,1.0,1.0,1.0,4.0,7.0
HHT2,59048.0,4.2043252946755185,2.9922300611864485,1.0,2.0,2.0,6.0,12.0
HINCP,59048.0,69294.00133789459,75592.32832030847,-8600.0,24877.5,50000.0,88000.0,1268800.0
HUGCL,59048.0,0.041152960303481916,0.19864556987932402,0.0,0.0,0.0,0.0,1.0
HUPAC,59048.0,3.456713182495597,0.9515981077648752,1.0,3.0,4.0,4.0,4.0
HUPAOC,59048.0,3.5380876574989837,0.8972132585863946,1.0,4.0,4.0,4.0,4.0
HUPARC,59048.0,3.465384094296166,0.9466902437145701,1.0,3.0,4.0,4.0,4.0
KIT,66573.0,1.0375978249440463,0.1902229535013344,1.0,1.0,1.0,1.0,2.0
LNGI,59048.0,1.0099749356455765,0.09937607132247046,1.0,1.0,1.0,1.0,2.0
MULTG,59048.0,1.0337183308494784,0.18050472792103672,1.0,1.0,1.0,1.0,2.0
MV,59048.0,4.189659260262837,1.8464843335000438,1.0,3.0,4.0,6.0,7.0
NOC,59048.0,0.43276656279636905,0.9243497521939105,0.0,0.0,0.0,0.0,10.0
NPF,38960.0,2.8853696098562627,1.2215084839661556,2.0,2.0,2.0,4.0,13.0
NPP,59048.0,0.010703156753827395,0.10290179062708868,0.0,0.0,0.0,0.0,1.0
